,Unnamed: 0,platform_id,name,release_date,release_year
0,0,7.0,Madden NFL 2004,2003-08-12,2003
1,1,7.0,FIFA Soccer 2004,2003-10-15,2003
2,2,82.0,LEGO Batman: The Videogame,2008-09-23,2008
3,3,7.0,wwe Smackdown vs. Raw 2006,2005-11-11,2005
4,4,28.0,Space Invaders,1980-01-01,1980
5,5,69.0,Rock Band,2007-11-20,2007
6,6,12.0,Frogger's Adventures: Temple of the Frog,2001-11-23,2001
7,7,82.0,LEGO Indiana Jones: The Original Adventures,2008-06-03,2008
8,8,82.0,Call of Duty 3,2006-11-19,2006
9,9,82.0,Rock Band,2008-06-22,2008
10,10,3.0,Call of Duty: Black Ops,2010-11-09,2010
11,11,81.0,Rock Band,2007-11-20,2007
12,12,6.0,Triple Play 99,1998-03-10,1998
13,13,28.0,Adventure,1980-01-01,1980
14,14,46.0,LEGO Batman: The Videogame,2008-09-23,2008
15,15,28.0,Combat,1977-10-14,1977
16,16,82.0,LEGO Harry Potter: Years 5-7,2011-11-11,2011
17,17,7.0,NASCAR Thunder 2003,2002-09-18,2002
18,18,13.0,Hitman 2: Silent Assassin,2002-10-02,2002
19,19,7.0,Rock Band,2007-12-18,2007
20,20,6.0,Legacy of Kain: Soul Reaver,1999-01-01,1999
21,21,10.0,Donkey Kong Land III,1997-10-01,1997
22,22,28.0,Air-Sea Battle,1977-01-01,1977
23,23,7.0,Suikoden III,2002-07-11,2002
24,24,69.0,LEGO Harry Potter: Years 5-7,2011-11-11,2011
25,25,7.0,Wheel of Fortune,2003-11-11,2003
26,26,81.0,Yakuza 4,2010-03-18,2010
27,27,81.0,LEGO Harry Potter: Years 5-7,2011-11-11,2011
28,28,13.0,Namco Museum,2002-10-09,2002
29,29,82.0,Rhythm Heaven,2011-07-21,2011
30,30,46.0,Madden NFL 07,2006-08-22,2006
31,31,7.0,MLB SlugFest 20-03,2002-06-21,2002
32,32,69.0,Shaun White Snowboarding,2008-11-13,2008
33,33,46.0,PES 2009: Pro Evolution Soccer,2008-11-06,2008
34,34,12.0,WarioWare: Twisted!,2004-10-14,2004
35,35,82.0,Madden NFL 11,2010-08-10,2010
36,36,69.0,Test Drive Unlimited 2,2011-02-11,2011
37,37,44.0,LEGO Harry Potter: Years 5-7,2011-11-11,2011
38,38,7.0,Monster Hunter 2,2006-02-16,2006
39,39,13.0,Metal Gear Solid 2: Substance,2002-11-05,2002
40,40,81.0,Test Drive Unlimited 2,2011-02-08,2011
41,41,44.0,Advance Wars: Days of Ruin,2008-01-21,2008
42,42,69.0,Madden NFL 06,2005-11-17,2005
43,43,7.0,NASCAR: Dirt to Daytona,2002-11-12,2002
44,44,13.0,Madden NFL 2002,2001-10-31,2001
45,45,13.0,Def Jam: Fight for NY,2004-09-20,2004
46,46,14.0,NBA Street Vol. 2,2003-04-29,2003
47,47,28.0,Fishing Derby,1980-01-01,1980
48,48,69.0,Wet,2009-09-15,2009
49,49,81.0,Sonic the Hedgehog,2011-03-02,2011
50,50,28.0,Karate,1982-11-01,1982
51,51,82.0,Tiger Woods PGA Tour 07,2007-03-13,2007
52,52,28.0,Circus Atari,1980-01-01,1980
53,53,28.0,Maze Craze: A Game of Cops 'n Robbers,1980-01-01,1980
54,54,69.0,Silent Hill: Homecoming,2008-09-30,2008
55,55,28.0,Super Breakout,1981-01-01,1981
56,56,69.0,Robert Ludlum's The Bourne Conspiracy,2008-06-27,2008
57,57,82.0,NHL Slapshot,2010-09-07,2010
58,58,3.0,TERA,1999-01-01,1999
59,59,7.0,NFL GameDay 2003,2002-08-13,2002
60,60,101.0,LEGO Harry Potter: Years 5-7,2011-11-11,2011
